Date,Open,High,Low,Close,Adj Close,Volume
2016-02-01,0.221090,0.227340,0.217500,0.227340,0.142456,4928000
2016-02-02,0.225780,0.235630,0.218750,0.218750,0.137073,6329600
2016-02-03,0.222500,0.226560,0.216410,0.226560,0.141967,3955200
2016-02-04,0.229690,0.238280,0.225000,0.227340,0.142456,4435200
2016-02-05,0.227340,0.231880,0.214840,0.215940,0.135312,5376000
2016-02-10,0.215630,0.215630,0.207810,0.210000,0.131590,2592000
2016-02-11,0.206880,0.207660,0.197810,0.197810,0.123952,4659200
2016-02-12,0.198750,0.237970,0.198750,0.237970,0.149117,15584000
2016-02-15,0.241410,0.277970,0.241410,0.271090,0.169870,15001600
2016-02-16,0.276250,0.299220,0.272190,0.297340,0.186319,19366400
2016-02-17,0.297810,0.307500,0.264840,0.264840,0.165954,21536000
2016-02-18,0.264840,0.280630,0.254840,0.278590,0.174570,16467200
2016-02-19,0.278130,0.288280,0.276560,0.281250,0.176237,9088000
2016-02-22,0.287500,0.291560,0.279530,0.285310,0.178781,4428800
2016-02-23,0.286250,0.296720,0.280470,0.296720,0.185931,8044800
2016-02-24,0.289840,0.302340,0.285940,0.296880,0.186031,7961600
2016-02-25,0.292340,0.300780,0.292340,0.292500,0.183286,5241600
2016-02-26,0.297190,0.303750,0.295160,0.296880,0.186031,6099200
2016-02-29,0.296880,0.334220,0.296880,0.307810,0.192880,12729600
2016-03-01,0.311720,0.335780,0.303590,0.325000,0.203651,18713600
2016-03-02,0.329690,0.348440,0.328440,0.345470,0.216478,15238400
2016-03-03,0.350780,0.399380,0.347810,0.393130,0.246343,18003200
2016-03-04,0.406250,0.422810,0.382810,0.395310,0.247709,13670400
2016-03-07,0.395310,0.410000,0.395000,0.395000,0.247515,7788800
2016-03-08,0.391250,0.395160,0.383590,0.390470,0.244676,6579200
2016-03-09,0.391250,0.425780,0.391250,0.417190,0.261419,14924800
2016-03-10,0.424530,0.427500,0.412660,0.424220,0.265825,5638400
2016-03-11,0.421880,0.428910,0.421250,0.422030,0.264452,4492800
2016-03-14,0.424220,0.440630,0.418130,0.437500,0.274146,12742400
2016-03-15,0.430470,0.445160,0.425780,0.431720,0.270524,10182400
2016-03-16,0.432500,0.451720,0.432340,0.446250,0.279629,9984000
2016-03-17,0.453130,0.468750,0.445310,0.447030,0.280118,11609600
2016-03-18,0.445160,0.445160,0.417970,0.429690,0.269252,16083200
2016-03-21,0.426720,0.466560,0.426720,0.466560,0.292356,21433600
2016-03-22,0.468750,0.484060,0.467340,0.479690,0.300583,20806400
2016-03-23,0.484380,0.494060,0.470000,0.493750,0.309393,15692800
2016-03-24,0.487190,0.502340,0.481090,0.493750,0.309393,14502400
2016-03-28,0.499220,0.504690,0.457030,0.465940,0.291967,18630400
2016-03-29,0.467030,0.482500,0.443130,0.472190,0.295884,10713600
2016-03-30,0.468750,0.480000,0.464840,0.475000,0.297644,13657600
2016-03-31,0.472500,0.475940,0.457030,0.457030,0.286384,7360000
2016-04-01,0.463590,0.463590,0.463590,0.463590,0.290495,12800
2016-04-04,0.462340,0.472030,0.439220,0.451410,0.282862,8697600
2016-04-05,0.447810,0.448590,0.439530,0.442340,0.277179,10720000
2016-04-06,0.437660,0.441410,0.417970,0.429690,0.269252,17024000
2016-04-07,0.429690,0.440780,0.425780,0.425780,0.266802,6092800
2016-04-08,0.435780,0.450470,0.420000,0.443750,0.278062,12108800
2016-04-11,0.448280,0.448280,0.448280,0.448280,0.280901,96000
2016-04-12,0.454380,0.454380,0.454380,0.454380,0.284723,70400
2016-04-13,0.445940,0.445940,0.445940,0.445940,0.279435,38400
2016-04-14,0.450000,0.453130,0.442190,0.446880,0.280024,7366400
2016-04-15,0.452810,0.453910,0.445310,0.445310,0.279040,11161600
2016-04-18,0.447970,0.452810,0.444690,0.448440,0.281001,8851200
2016-04-19,0.448440,0.453130,0.446560,0.449380,0.281590,3648000
2016-04-20,0.452810,0.454690,0.437500,0.453910,0.284429,14598400
2016-04-22,0.448590,0.452340,0.446720,0.450630,0.282374,5753600
2016-04-25,0.445470,0.453130,0.444530,0.447340,0.280312,10912000
2016-04-26,0.451720,0.454690,0.440940,0.453130,0.283940,8384000
2016-04-27,0.451410,0.540000,0.451410,0.540000,0.338375,20294400
2016-04-28,0.545630,0.546880,0.506090,0.506090,0.317126,5568000
2016-04-29,0.505630,0.520940,0.500470,0.500470,0.313604,9568000
2016-05-02,0.506250,0.546880,0.500630,0.545310,0.341702,7065600
2016-05-03,0.539840,0.573440,0.526720,0.538910,0.337692,13177600
2016-05-04,0.546880,0.546880,0.500780,0.500780,0.313799,15705600
2016-05-05,0.502340,0.515630,0.445310,0.445310,0.279040,11046400
2016-05-06,0.515630,0.565940,0.515630,0.531250,0.332892,28140800
2016-05-09,0.530160,0.551250,0.522500,0.547660,0.343174,9158400
2016-05-10,0.548750,0.554380,0.540630,0.546880,0.342686,4070400
2016-05-11,0.547660,0.553280,0.543130,0.551560,0.345618,3436800
2016-05-12,0.552190,0.552190,0.539060,0.539060,0.337786,18694400
2016-05-13,0.531250,0.539840,0.523440,0.525470,0.329270,5478400
2016-05-16,0.514690,0.537030,0.514690,0.532500,0.333675,5158400
2016-05-17,0.530780,0.540630,0.522970,0.534530,0.334947,6969600
2016-05-18,0.535160,0.548440,0.529690,0.544220,0.341019,3545600
2016-05-19,0.544220,0.548130,0.535310,0.538910,0.337692,3507200
2016-05-20,0.535780,0.546880,0.534220,0.546880,0.342686,6707200
2016-05-23,0.546880,0.546880,0.525160,0.527340,0.330442,3577600
